Genus,Species,Analogue,Site,Type,UrchinID,Condition,Abs_lat,UrchinID,TestDiameter,ThicknessCT(um),Mean_intensity,Voxel_size,Porosity,MgCO3,Spine_length,Spine_diameter,Spine_diameter,Spine_porosity,Jaw_length,UrchinID
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-V6,Extreme,40.718,P-R-V6,53.487,521.501,37758,2.8428,46.896602,,19.306,1.079,1079.216,14.3639313,10.6,P-R-V6
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-V7,Extreme,40.718,P-R-V7,35.557,499.805,38531,2.3854,40.0881581,,15.4496,0.935,935.148,16.6026387,8.7,P-R-V7
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-V8,Extreme,40.718,P-R-V8,41.376,546.536667,37621.5,2.38977,43.4651243,,18.0778,1.009,1009.114,17.0522474,10.6,P-R-V8
Arbacia,lixula,Cave,Cave,Seep,A-PV-C1,Reference,40.759181,A-PV-C1,38.548,720.771,39358,2.3857,35.5265223,10.2006803,24.643,1.405,1405.24,36.5472032,11.5,A-PV-C1
Arbacia,lixula,Cave,Cave,Seep,A-PV-C2,Reference,40.759181,A-PV-C2,48.781,884.976,35942.5,2.49452,50.3728267,,19.52,1.14,1140,,15.7,A-PV-C2
Arbacia,lixula,Cave,Cave,Seep,A-PV-C3,Reference,40.759181,A-PV-C3,38.611,703.532,35085.4,2.3857,40.6092653,9.45578231,19.7726,1.303,1303.026,36.4289685,12.9,A-PV-C3
Arbacia,lixula,Cave,Cave,Seep,A-PV-C4,Reference,40.759181,A-PV-C4,41.305,917.821,39663.7,2.38977,42.6961213,,21.7,1.214,1213.775,33.8985919,12.7,A-PV-C4
Arbacia,lixula,Cave,Cave,Seep,A-PV-C5,Reference,40.759181,A-PV-C5,45.624,746.719,37676.4,2.3857,31.1542362,9.53061224,19.836,1.38,1379.943,38.2832778,14.1,A-PV-C5
Arbacia,lixula,Cave,Cave,Seep,A-PV-C6,Reference,40.759181,A-PV-C6,47.073,759.837667,34849.4,2.49452,43.3925853,,21.96,1.175,1175.327,32.4452115,15.3,A-PV-C6
Arbacia,lixula,Cave,Cave,Seep,A-PV-C7,Reference,40.759181,A-PV-C7,44.187,757.538,40571,2.49452,52.4840855,,22.56,1.06,1060,,13.8,A-PV-C7
Arbacia,lixula,Cave,Cave,Seep,A-PV-C8,Reference,40.759181,A-PV-C8,43.259,857.351333,36961.7,2.49452,53.0868131,,21.64,1.181,1180.681,33.6773878,14.2,A-PV-C8
Arbacia,lixula,Cave,Cave,Seep,A-GM-V1,Extreme,40.712,A-GM-V1,52.672,796.532,38313.1,2.3857,36.0064625,10.8877551,20.689,1.352,1351.892,34.7357295,15.4,A-GM-V1
Arbacia,lixula,Cave,Cave,Seep,A-GM-V2,Extreme,40.712,A-GM-V2,42.744,756.002,35003.8,2.3857,41.90361,9.0170068,21.818,1.317,1317.144,35.2153099,15.5,A-GM-V2
Arbacia,lixula,Cave,Cave,Seep,A-GM-V3,Extreme,40.712,A-GM-V3,53.526,847.990333,40911.5,2.51203,45.7022266,,19.18,1.039,1039.154,34.3929689,17.0,A-GM-V3
Arbacia,lixula,Cave,Cave,Seep,A-GM-V4,Extreme,40.712,A-GM-V4,52.996,862.223,39081.3,2.49452,53.6091237,,18.12,1.12,1120,,16.8,A-GM-V4
Arbacia,lixula,Cave,Cave,Seep,A-GM-V5,Extreme,40.712,A-GM-V5,47.41,772.609667,37763.2,2.35321,36.4612371,,19.32,1.165,1164.867,39.9609384,13.6,A-GM-V5
Arbacia,lixula,Cave,Cave,Seep,A-GM-V6,Extreme,40.712,A-GM-V6,53.382,892.267333,39630.4,2.67423,51.2952692,,20.76,1.166,1165.847,34.7707485,14.3,A-GM-V6
Arbacia,lixula,Cave,Cave,Seep,A-GM-V7,Extreme,40.712,A-GM-V7,46.317,748.020333,40164.7,2.38977,46.7916335,,19.68,1.1,1100,,15.7,A-GM-V7
Arbacia,lixula,Cave,Cave,Seep,A-GM-V8,Extreme,40.712,A-GM-V8,34.008,722.253,37077.7,2.3857,36.4357207,9.44557823,21.234,1.333,1332.549,43.4667699,12.0,A-GM-V8
Echinometra,sp. A,Shikine,Shikine,Seep,S-C1,Reference,34.3258,C1,32.36866667,848.377,38293,2.244,28.413,14.153,16.34,1.723,1723.486,27.190396,10.1,C1
